model,precision,batch_size,power_mode,p_peak_w,energy_per_inf_j,thermal_ramp_c_per_s,speed_score,pareto
resnet18,FP32,1,MAXN,11.214592,0.5560811514069715,-0.0459491058539444,19.5677539992426,0
resnet18,FP32,1,MAXN,11.214592,0.5561493729409873,-0.0470996367670393,19.66673526340956,0
resnet18,FP32,2,15W,14.107264,0.1490471559540088,0.841421690892562,84.94065794776851,0
resnet18,FP32,2,15W,14.225152,0.1571312401461813,0.5882576692110602,84.96219531220405,0
resnet18,FP32,2,15W,14.185856,0.1571997459955369,0.4249026708105267,84.9784389588804,0
resnet18,FP32,2,15W,12.379136,0.6766786865039476,0.0227921975892478,18.12967785460715,0
resnet18,FP32,2,15W,12.41856,0.6781157059561982,0.0364568866840208,18.057981780675053,0
resnet18,FP32,2,15W,12.41856,0.6782434694809202,0.0271917575185281,18.07904318221184,0
resnet18,FP32,2,25W,15.941376,0.1407158657183951,1.2920918212822838,95.88351168926134,0
resnet18,FP32,2,25W,16.137216,0.1499058162710695,0.9686215444508812,99.05978913455068,0
resnet18,FP32,2,25W,16.176384,0.1490328505725502,0.9021078185825878,99.24793015067168,0
resnet18,FP32,2,25W,13.635712,0.675334602955082,0.0225179244576281,19.94239214325785,0
resnet18,FP32,2,25W,13.714304,0.6722819032475074,0.0558527246222852,19.95998893538533,0
resnet18,FP32,2,25W,13.635712,0.6736909011627239,0.0422006633434593,19.891605641436392,0
resnet18,FP32,2,MAXN,17.997439999999997,0.1329963784362779,2.2518381386007382,108.87875997529652,0
resnet18,FP32,2,MAXN,18.3488,0.1456943847783501,1.0325261247048405,116.96423464825936,0
resnet18,FP32,2,MAXN,18.46592,0.1452947980999253,0.9088954143177578,117.67365140747792,0
resnet18,FP32,2,MAXN,14.751232,0.6974879445987586,-0.035598245625703,20.18585377176252,0
resnet18,FP32,2,MAXN,14.107264,0.6845761127591505,0.0167271627450684,20.146780760012494,0
resnet18,FP32,2,MAXN,14.594304,0.690586619346426,0.0996612147586285,20.53727534540623,0
resnet18,FP32,4,15W,13.989376,0.2550312300046135,0.40626876093116,51.76785858310903,0
resnet18,FP32,4,15W,14.028672,0.2590187152099129,0.1888989007275405,52.23439120256664,0
resnet18,FP32,4,15W,13.989376,0.2600476833747783,0.1407412431413746,52.2529776145912,0
resnet18,FP32,4,15W,13.910784,0.966690422125206,0.0250709882580535,14.215982391425358,0
resnet18,FP32,4,15W,13.910784,0.96890002716073,0.0291930807444642,14.161579953185534,0
resnet18,FP32,4,15W,13.95008,0.9747325202627322,0.030317357184637,14.107408135683718,0
resnet18,FP32,4,25W,18.669504,0.2220073776506257,1.0231912929427749,75.19954126836384,0
