model,precision,batch_size,power_mode,schedule,mode,seq_len,gen_tokens,p_peak_w,p_avg_w,p_idle_w,p_p95_w,peak_to_avg,dpdt_max_w_per_s,dpdt_p95_w_per_s,transient_count,temp_max_c,thermal_ramp_c_per_s,energy_total_j,energy_per_inf_j,duration_s,n_inferences,backend,throughput_infps,trace_source,repeat,final_loss
resnet18,FP16,8,15W,default,train,128,64,13.1856,13.036677505376344,12.91008,13.14624,1.011423347287853,9.513444668648841,3.2184002774307974,0.0,57.218,0.031454433362945684,172.10036986247198,0.8605018493123598,13.200122824000573,200.0,torch-cuda-FP16-train,15.148809282677313,ina3221,1,0.000413659552577883
resnet18,FP16,8,25W,default,inference,128,64,18.026944,16.74207618348624,11.9187648,18.026944,1.0767448315508865,21.403146711900437,12.180888140510945,0.0,58.656,0.8058680904991122,47.30546181896774,0.2365273090948387,2.8245919439996214,200.0,torch-cuda-FP16,70.7733689436467,ina3221,0,
resnet18,FP16,8,25W,default,inference,128,64,18.11456,17.304845211009177,14.521836799999999,18.07552,1.0467912182465342,11.51844876205383,8.89020655944509,0.0,59.218,0.4794834463633524,48.69366080010727,0.24346830400053635,2.812375637000514,200.0,torch-cuda-FP16,70.78295125702657,ina3221,1,
resnet18,FP16,8,25W,default,train,128,64,15.980544,15.686772115340256,15.535872,15.863040000000002,1.018727363571022,12.014114006477897,8.9177908360539,0.0,59.093,0.04412156203901808,172.04810646409092,0.8602405323204546,10.967163352999705,200.0,torch-cuda-FP16-train,18.231346631512494,ina3221,0,0.0004132273024879396
resnet18,FP16,8,25W,default,train,128,64,15.967424000000001,15.655824589861753,15.5015008,15.823872,1.019903097939666,11.93545357182929,8.877873202644462,0.0,59.687,0.05686411332002753,171.67321685350754,0.8583660842675377,10.964773458999844,200.0,torch-cuda-FP16-train,18.22598482810902,ina3221,1,0.0003800407866947353
resnet18,FP16,8,MAXN,default,inference,128,64,19.994688,18.171942834951462,11.768064,19.955712,1.1003054643966146,26.373621579934497,15.77997613179229,0.0,60.75,1.0856225273215554,47.93502021035879,0.23967510105179396,2.634300870999141,200.0,torch-cuda-FP16,75.76094726324304,ina3221,0,
resnet18,FP16,8,MAXN,default,inference,128,64,19.961856,19.08562736231884,16.3565568,19.922944,1.045910392204928,12.590454310499855,8.372911102148608,0.0,61.218,0.4518005793423643,50.30950523403621,0.25154752617018106,2.634395652999956,200.0,torch-cuda-FP16,75.68767529382269,ina3221,1,
resnet18,FP16,8,MAXN,default,train,128,64,16.971135999999998,16.630133195779603,16.489728,16.853824,1.020505115635931,12.198153868881953,8.996402660125955,0.0,60.906,0.03130816321439684,178.0284987604208,0.890142493802104,10.704790013000093,200.0,torch-cuda-FP16-train,18.667849512388873,ina3221,0,0.0003636254114098847
resnet18,FP16,8,MAXN,default,train,128,64,16.920576,16.648926803738316,16.528896,16.81472,1.0163163187311681,12.194350898657756,9.059191139913116,0.0,61.375,0.04706766850186142,178.53709282045293,0.8926854641022647,10.72278371700122,200.0,torch-cuda-FP16-train,18.651336010290926,ina3221,1,0.00040877325227484107
mobilenet_v3_large,FP16,1,15W,default,inference,128,64,8.1344,8.032365714285715,7.896319999999999,8.09472,1.0127028934368383,5.669952872347585,3.3774329511116052,0.0,58.406,-0.10341362678010714,39.197902403211025,0.19598951201605513,4.881211776000782,200.0,torch-cuda-FP16,40.94421035700002,ina3221,0,
