model,precision,batch_size,power_mode,schedule,mode,seq_len,gen_tokens,p_peak_w,p_avg_w,p_idle_w,p_p95_w,peak_to_avg,dpdt_max_w_per_s,dpdt_p95_w_per_s,transient_count,temp_max_c,thermal_ramp_c_per_s,energy_total_j,energy_per_inf_j,duration_s,n_inferences,backend,throughput_infps,trace_source,repeat,final_loss
mobilenet_v3_large,FP16,1,15W,default,train,128,64,23.755007999999997,23.07114711203897,22.843008,23.477504,1.0296413908090496,14.856751761544093,7.24979327572432,0.0,55.562,-0.05954242072725639,571.7908169889213,2.8589540849446062,24.782649906000188,200.0,torch-cuda-FP16-train,8.06840388684253,ina3221,1,0.0
mobilenet_v3_large,FP16,1,25W,default,inference,128,64,23.9136,23.62770927659574,22.795340799999998,23.87392,1.012099807055246,7.890569298910982,4.905006138336616,0.0,54.093,-0.022106020105978636,129.59036103373376,0.6479518051686688,5.483481444000063,200.0,torch-cuda-FP16,36.43050187383617,ina3221,0,
mobilenet_v3_large,FP16,1,25W,default,inference,128,64,24.423936,23.794658146964853,23.477376,24.167334399999998,1.0264461817080326,14.35452465184101,4.5200638602486825,0.0,53.937,-0.041033285426004734,131.42716057269982,0.657135802863499,5.5229353079994326,200.0,torch-cuda-FP16,36.17463633941325,ina3221,1,
mobilenet_v3_large,FP16,1,25W,default,train,128,64,23.556736,22.980210560875516,22.843008,23.239552000000003,1.0250879093382215,13.77569910714686,7.706520132475784,0.0,53.656,-0.03690426232201755,583.7904662752569,2.9189523313762846,25.40301086099953,200.0,torch-cuda-FP16-train,7.872923796128013,ina3221,0,0.0
mobilenet_v3_large,FP16,1,25W,default,train,128,64,23.636096000000002,22.994080767649077,22.847360000000002,23.279168000000006,1.0279208914171596,13.510909441548938,7.999276558677922,0.0,52.843,-0.02263946621130558,580.0967110569393,2.9004835552846964,25.227746694000416,200.0,torch-cuda-FP16-train,7.928015833853013,ina3221,1,0.0
mobilenet_v3_large,FP16,1,MAXN,default,inference,128,64,27.090176000000003,26.498664704,24.6821312,27.010944000000002,1.0223223057692683,12.600884970242545,7.052823649197952,0.0,52.656,0.06229736003762578,114.0795667844318,0.570397833922159,4.304007622999961,200.0,torch-cuda-FP16,46.29665274837267,ina3221,0,
mobilenet_v3_large,FP16,1,MAXN,default,inference,128,64,27.248512,26.833644621513944,26.535808,27.16928,1.0154607167359382,10.426705289305788,4.647056084571971,0.0,52.312,0.0019755988521062006,115.4066326854444,0.577033163427222,4.300831228999414,200.0,torch-cuda-FP16,46.39939248125079,ina3221,1,
mobilenet_v3_large,FP16,1,MAXN,default,train,128,64,25.057920000000003,23.754506884047785,23.398143999999995,24.270464,1.054870139898695,12.537302636229766,8.251127783720605,0.0,52.312,-0.012857464752398616,581.5437871531423,2.907718935765711,24.479625701999794,200.0,torch-cuda-FP16-train,8.167298167279213,ina3221,0,0.0
mobilenet_v3_large,FP16,1,MAXN,default,train,128,64,25.573120000000003,24.002447657492354,23.477376,25.1372576,1.0654380071949605,14.880940837860598,8.77159642691074,0.0,52.0,-0.01606926820519205,547.5057799460178,2.737528899730089,22.802118072000667,200.0,torch-cuda-FP16-train,8.772045042294994,ina3221,1,0.0
mobilenet_v3_large,FP16,4,15W,default,inference,128,64,30.960384,30.062985014084507,28.042572800000002,30.683648000000005,1.0298506281227584,16.51997567901712,9.10130888784027,0.0,51.812,0.05592063987714104,149.58106639969722,0.7479053319984861,4.973494152999592,200.0,torch-cuda-FP16,40.21191707643904,ina3221,0,
mobilenet_v3_large,FP16,4,15W,default,inference,128,64,30.683648000000005,30.238556659932662,29.116582400000002,30.604544000000004,1.0147193315168084,10.184587268730183,8.10753997960407,0.0,52.0,0.03289673491696674,149.14772555064383,0.7457386277532191,4.9341616329993485,200.0,torch-cuda-FP16,40.47868658571906,ina3221,1,
mobilenet_v3_large,FP16,4,15W,default,train,128,64,28.737280000000002,26.574434723404256,26.1408,27.398400000000002,1.0813881950493915,52.24729762627059,12.237558452460213,0.0,52.0,0.00029741666445239024,696.39388721783,3.48196943608915,26.201662446000228,200.0,torch-cuda-FP16-train,7.634448389070214,ina3221,0,5.36441234544327e-07
mobilenet_v3_large,FP16,4,15W,default,train,128,64,27.517184,26.737182878706204,26.220032,27.170304,1.0291728984625004,19.373839575799696,12.972345335160432,0.0,52.062,-0.0002974114503127113,680.7201757841004,3.403600878920502,25.456747620999522,200.0,torch-cuda-FP16-train,7.854701968250722,ina3221,1,9.000219506560825e-06
mobilenet_v3_large,FP16,4,25W,default,inference,128,64,28.697408,28.090412779552715,26.1012352,28.618303999999995,1.0216086258756982,13.816615169804727,8.950663977508702,0.0,51.937,0.02491519591930486,154.9016116229575,0.7745080581147874,5.513100647999636,200.0,torch-cuda-FP16,36.23123498721003,ina3221,0,
mobilenet_v3_large,FP16,4,25W,default,inference,128,64,29.132416000000003,28.51448995121951,27.477504,28.855616,1.0216705979955312,14.335718049146188,8.920546476231875,0.0,52.062,0.019865145002818444,154.71693304334275,0.7735846652167138,5.426418635999653,200.0,torch-cuda-FP16,36.7683648550916,ina3221,1,
mobilenet_v3_large,FP16,4,25W,default,train,128,64,28.222784,26.74593749607423,26.378496000000002,27.596288,1.0552176009587453,21.318655850107973,12.53745145389801,0.0,52.093,-0.0033128137398399987,662.4219821099888,3.312109910549944,24.763648703999934,200.0,torch-cuda-FP16-train,8.078383360407146,ina3221,0,4.857745807385072e-06
mobilenet_v3_large,FP16,4,25W,default,train,128,64,27.596288,26.450253070115725,25.930495999999998,27.011967999999996,1.0433279381806406,17.95836923428008,11.15805092706217,0.0,52.156,0.001996202490419234,684.1176817889841,3.4205884089449206,25.858100798999658,200.0,torch-cuda-FP16-train,7.73387280152565,ina3221,1,1.1920914175789221e-06
mobilenet_v3_large,FP16,4,MAXN,default,inference,128,64,33.982336000000004,32.909019096774195,29.371152000000002,33.850137600000004,1.0326146732015788,22.2719751784438,12.619822838038727,0.0,52.625,0.09672767946589451,143.34926461674803,0.7167463230837402,4.353073780000159,200.0,torch-cuda-FP16,45.86781721891551,ina3221,0,
mobilenet_v3_large,FP16,4,MAXN,default,inference,128,64,34.298496,33.67553334362935,32.4736256,34.219392,1.0184989692669115,10.937401011363809,5.204893318567442,0.0,52.75,0.09439462090232437,145.0585431600296,0.725292715800148,4.304495041000337,200.0,torch-cuda-FP16,46.30151062880141,ina3221,1,
mobilenet_v3_large,FP16,4,MAXN,default,train,128,64,28.816000000000003,26.992354654662382,26.615807999999998,27.398272000000002,1.0675615509898697,22.147053042158106,13.77769484474584,0.0,52.343,-0.0023258203352018165,716.3536920419946,3.581768460209973,26.535777800000687,200.0,torch-cuda-FP16-train,7.5387375490286255,ina3221,0,7.152551688704989e-07
