model,precision,batch_size,power_mode,p_peak_w,energy_per_inf_j,thermal_ramp_c_per_s,speed_score,pareto
resnet18,FP16,8,MAXN,58.30528,3.048936868633674,0.026857789177321,18.667071179859214,1
resnet18,FP16,8,MAXN,57.901376,3.033442044958613,0.0314361987631083,18.716902964243264,0
mobilenet_v3_large,FP16,1,15W,25.823616,0.6315097491773669,-0.0967233943316114,40.23574194434052,0
mobilenet_v3_large,FP16,1,15W,25.546496,0.630442379043105,-0.0994577178792084,40.05405965856136,0
mobilenet_v3_large,FP16,1,15W,29.181376,2.8689239232236985,-0.0750895591452415,8.2802212757429,0
mobilenet_v3_large,FP16,1,15W,23.755008,2.8589540849446062,-0.0595424207272563,8.06840388684253,0
mobilenet_v3_large,FP16,1,25W,23.9136,0.6479518051686688,-0.0221060201059786,36.43050187383617,0
mobilenet_v3_large,FP16,1,25W,24.423936,0.657135802863499,-0.0410332854260047,36.17463633941325,0
mobilenet_v3_large,FP16,1,25W,23.556736,2.9189523313762846,-0.0369042623220175,7.872923796128013,0
mobilenet_v3_large,FP16,1,25W,23.636096,2.9004835552846964,-0.0226394662113055,7.928015833853013,0
mobilenet_v3_large,FP16,1,MAXN,27.090176000000003,0.570397833922159,0.0622973600376257,46.29665274837267,0
mobilenet_v3_large,FP16,1,MAXN,27.248512,0.577033163427222,0.0019755988521062,46.39939248125079,0
mobilenet_v3_large,FP16,1,MAXN,25.057920000000003,2.907718935765711,-0.0128574647523986,8.167298167279213,0
mobilenet_v3_large,FP16,1,MAXN,25.573120000000003,2.737528899730089,-0.016069268205192,8.772045042294994,0
mobilenet_v3_large,FP16,4,15W,30.960384,0.7479053319984861,0.055920639877141,40.21191707643904,0
mobilenet_v3_large,FP16,4,15W,30.683648000000005,0.7457386277532191,0.0328967349169667,40.47868658571906,0
mobilenet_v3_large,FP16,4,15W,28.73728,3.48196943608915,0.0002974166644523,7.634448389070214,0
mobilenet_v3_large,FP16,4,15W,27.517184,3.403600878920502,-0.0002974114503127,7.854701968250722,0
mobilenet_v3_large,FP16,4,25W,28.697408,0.7745080581147874,0.0249151959193048,36.23123498721003,0
mobilenet_v3_large,FP16,4,25W,29.132416000000003,0.7735846652167138,0.0198651450028184,36.7683648550916,0
mobilenet_v3_large,FP16,4,25W,28.222784,3.312109910549944,-0.0033128137398399,8.078383360407146,0
mobilenet_v3_large,FP16,4,25W,27.596288,3.420588408944921,0.0019962024904192,7.73387280152565,0
mobilenet_v3_large,FP16,4,MAXN,33.982336000000004,0.7167463230837402,0.0967276794658945,45.86781721891551,0
mobilenet_v3_large,FP16,4,MAXN,34.298496,0.725292715800148,0.0943946209023243,46.30151062880141,0
mobilenet_v3_large,FP16,4,MAXN,28.816000000000003,3.581768460209973,-0.0023258203352018,7.5387375490286255,0
mobilenet_v3_large,FP16,4,MAXN,28.341376,3.567603653437626,-0.0006457491122587,7.626222120421533,0
mobilenet_v3_large,FP16,8,15W,38.953088,0.9381383657851456,0.2184425235259058,40.133208580727455,0
mobilenet_v3_large,FP16,8,15W,38.913664,0.9477270898274724,0.0756374090589187,40.28650391845712,0
mobilenet_v3_large,FP16,8,15W,34.63936,4.323191377440926,0.0084911761135094,7.254099538841921,1
mobilenet_v3_large,FP16,8,15W,33.194368000000004,4.269787835005296,0.0078947494323738,7.403676657447117,0
mobilenet_v3_large,FP16,8,25W,35.901056,0.9658046756635223,0.1557085579654708,35.98394910113747,0
mobilenet_v3_large,FP16,8,25W,35.861568,0.9748821652845392,0.065694061954553,35.8993580401902,0
mobilenet_v3_large,FP16,8,25W,35.15168,4.270266767578031,0.0106596195562646,7.502941004972291,1
mobilenet_v3_large,FP16,8,25W,34.147136,4.222930676711162,0.0085868922131397,7.579778757203817,0
mobilenet_v3_large,FP16,8,MAXN,44.767424,0.9366620723662424,0.3831771456494245,45.67600436792093,0
mobilenet_v3_large,FP16,8,MAXN,44.884992,0.9606300154251952,0.136919017642983,45.89472967151112,0
mobilenet_v3_large,FP16,8,MAXN,39.345792,4.211570814268653,0.00200621895757,8.106280393612316,1
mobilenet_v3_large,FP16,8,MAXN,35.112064000000004,4.430885786527154,-0.0038726384230224,7.447419326976135,1
