model,precision,batch_size,power_mode,schedule,mode,seq_len,gen_tokens,p_peak_w,p_avg_w,p_idle_w,p_p95_w,peak_to_avg,dpdt_max_w_per_s,dpdt_p95_w_per_s,transient_count,temp_max_c,thermal_ramp_c_per_s,energy_total_j,energy_per_inf_j,duration_s,n_inferences,backend,throughput_infps,trace_source,qps,repeat
resnet50,INT8,8,MAXN,default,inference,128,64,20.312064,19.670317493975908,16.215552,20.312064,1.0326251218985474,25.96524011426301,11.32752752801833,0.0,62.625,0.4498705135185862,129.9740756282949,0.11033452939583609,6.594161039000028,1178.0,trt-int8,178.6343974944183,ina3221,178.699,0
resnet50,INT8,8,MAXN,default,inference,128,64,20.317504,19.719542428828827,16.4393216,20.278655999999998,1.03032329849079,26.340771119755786,11.155697157867353,0.0,63.406,0.33339213727479666,129.88502592970272,0.11101284267495959,6.577380670000821,1170.0,trt-int8,177.6761137799995,ina3221,177.692,1
resnet50,INT8,8,MAXN,default,inference,128,64,20.389888,19.7642291107078,16.560544,20.350976,1.0316561240910345,28.65843534182141,12.647113047142279,0.0,64.125,0.3167003901062583,130.0486039720583,0.1107739386474091,6.575476799999706,1174.0,trt-int8,178.4078078737232,ina3221,178.426,2
resnet50,INT8,16,15W,default,inference,128,64,15.49664,15.042285075268817,12.549936,15.47136,1.0302051797620957,19.007705891803923,7.405541018546019,0.0,57.593,0.35799262667548176,99.85332658125927,0.26139614288287766,6.631888543999594,382.0,trt-int8,57.54393829811069,ina3221,57.5246,0
resnet50,INT8,16,15W,default,inference,128,64,15.510528,15.060187396880414,12.815616,15.47136,1.0299027224065533,18.269468890796627,7.388536528390467,0.0,58.406,0.27714362754356064,99.9608172728731,0.26167753212794004,6.627809499999785,382.0,trt-int8,57.57074753420532,ina3221,57.5053,1
resnet50,INT8,16,15W,default,inference,128,64,15.510528,15.088463741472173,12.862848,15.47136,1.027972646238844,18.87165173114436,7.402411295290917,0.0,58.968,0.2444044750330582,100.0375780250472,0.26256582158805036,6.624071267000545,381.0,trt-int8,57.464058502824585,ina3221,57.4867,2
resnet50,INT8,16,25W,default,inference,128,64,19.611648000000002,18.872082782608697,15.3513792,19.526975999999998,1.0391883199067378,28.88244488052028,12.989135968798127,0.0,61.031,0.470284330656036,125.14256201990416,0.23046512342523787,6.630171436999262,543.0,trt-int8,81.9021534345849,ina3221,81.8875,0
resnet50,INT8,16,25W,default,inference,128,64,19.533824,18.87596972972973,15.3812736,19.494912,1.0348514158313227,26.037563608466783,12.79645488079687,0.0,61.875,0.37519001288602766,125.3202355009172,0.23036807996492134,6.638549900999351,544.0,trt-int8,81.93588347883518,ina3221,81.9417,1
resnet50,INT8,16,25W,default,inference,128,64,19.572736,18.91559831864407,15.432191999999999,19.533824,1.03474051786711,27.973084446864103,13.125165308383506,0.0,62.687,0.3532686138148644,125.26309117265262,0.23068709239899193,6.628579463999813,543.0,trt-int8,81.90237353789112,ina3221,81.9693,2
resnet50,INT8,16,MAXN,default,inference,128,64,21.56064,20.826084442882248,17.252684799999997,21.521792,1.0352709391500043,29.657971454955028,11.997716974219497,0.0,63.843,0.45477240499623645,137.48117076219205,0.24035169713669938,6.585754259999703,572.0,trt-int8,86.83508383803735,ina3221,86.7618,0
resnet50,INT8,16,MAXN,default,inference,128,64,21.482944,20.809537391304346,17.2722848,21.444096000000002,1.0323604795259431,29.39655670354689,11.641274507104391,0.0,64.656,0.36274777613554987,137.4250723535127,0.24109661816405736,6.592558090999773,570.0,trt-int8,86.33742800945069,ina3221,86.402,1
resnet50,INT8,16,MAXN,default,inference,128,64,21.521792,20.86840743661972,17.425504,21.482944,1.0313097472993424,28.642335250785603,11.114299729153343,0.0,65.25,0.34797915861814077,137.62104492314262,0.2418647538192313,6.581208228999458,569.0,trt-int8,86.44420363689206,ina3221,86.4338,2
resnet50,INT4,1,15W,default,inference,128,64,14.51584,13.926280556149731,11.945472,14.476608,1.042334307532669,16.557610515456243,6.5372137287045335,0.0,57.281,0.2730202038355111,91.53971768340104,0.045564817164460446,6.578591981999125,2009.0,trt-int4,305.2005078511027,ina3221,305.248,0
resnet50,INT4,1,15W,default,inference,128,64,14.264448,13.934722666666664,12.199632000000001,14.225152,1.0236621381867954,16.169696221615407,6.530030883711492,0.0,57.968,0.2026878050422158,91.4739442911679,0.045622914858437856,6.572904695000034,2005.0,trt-int4,304.8310043419303,ina3221,304.879,1
resnet50,INT4,1,15W,default,inference,128,64,14.264448,13.91849667642276,12.0124928,14.264448,1.0248555092995972,14.782832939532883,7.329686158405661,0.0,58.468,0.1848500605797247,91.59471833157679,0.04552421388249343,6.582283396999628,2012.0,trt-int4,305.66858337609693,ina3221,305.624,2
resnet50,INT4,1,25W,default,inference,128,64,17.568,17.057997729372936,14.067968,17.568,1.0298981321675797,21.675577639257984,10.595895668332517,0.0,60.0,0.37345390254427374,112.1197680203069,0.03942326582992507,6.574208254000041,2844.0,trt-int4,431.94448087457056,ina3221,431.966,0
resnet50,INT4,1,25W,default,inference,128,64,17.60704,17.049555498207887,14.1347712,17.568,1.0326978906781887,22.52767958692329,10.76003031262581,0.0,60.812,0.30914741576481525,112.41363088162379,0.039652074385052485,6.580475126999772,2835.0,trt-int4,430.11536698658307,ina3221,430.056,1
resnet50,INT4,1,25W,default,inference,128,64,17.60704,17.087981597069597,14.300063999999999,17.60704,1.030375641498784,22.750330893046165,9.785119802023393,0.0,61.218,0.26853599642862946,112.46478376263238,0.03943365489573365,6.580840139999964,2852.0,trt-int4,433.0182849486053,ina3221,433.045,2
resnet50,INT4,1,MAXN,default,inference,128,64,19.650560000000002,18.961793560975607,15.9531264,19.533824,1.0363239076941495,28.330553654802134,9.724612016157488,0.0,62.281,0.3607632219521998,123.94307241810374,0.04026740494415326,6.543179021000469,3078.0,trt-int4,469.77469218403365,ina3221,469.775,0
resnet50,INT4,1,MAXN,default,inference,128,64,19.533824,19.00067176470588,16.0647552,19.494912,1.0280596518847538,25.929476793097386,9.771760357641423,0.0,62.968,0.29272297908282974,124.2806165436659,0.04037706840275045,6.541121023999949,3078.0,trt-int4,469.75930997024966,ina3221,469.792,1
